amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	url	ship-service-level	product-name	sku	asin	item-status	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids 
503-7147378-8077469		2026-02-28T23:09:10+09:00	2026-03-03T10:39:48+09:00	Shipped	Merchant	Amazon.co.jp	WebsiteOrderChannel		NextDay	[&mellow] 7枚セット シームレスショーツ レディース 深め ハイウエスト 無縫製 深履き 下着 クロッチ綿100％ シームレスパンツ シームレス 深め 吸汗速乾 通気性 食い込みにくい 大きいサイズ M L LL 3L 黒 インナー (JP, アルファベット, XL, 7色アソート)	30827-C-01	B0FSZNDF5S	Shipped	1	JPY	2190.0	199.0								富山県	937-0012	JP	
250-3089429-2227029	250-3089429-2227029	2026-02-28T22:49:17+09:00	2026-03-02T11:15:00+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	[&mellow] 開運 赤いパンツ 2枚セット レディース 綿混 ハイウエスト 綿ショーツ 温活 深履き 深め ショーツ 大き 	30815R-C-01	B0FM3G5QMY	Shipped	1	JPY	1000.0	91.0								静岡県	432-8015	JP	
249-4907015-8577401	249-4907015-8577401	2026-02-28T22:26:46+09:00	2026-03-01T11:05:04+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	[&mellow] ノンワイヤーブラセット シームレスブラ シームレスショーツ 脇高ブラ＆ショーツセット ふんわり谷間 	30902-B-01	B0FLXBR4ZS	Shipped	1	JPY	1798.0	163.0								兵庫県	663-8141	JP	
249-5033249-3627043	249-5033249-3627043	2026-02-28T22:25:35+09:00	2026-03-01T21:36:47+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	[&mellow] 開運 赤いパンツ 2枚セット レディース 綿混 ハイウエスト 綿ショーツ 温活 深履き 深め ショーツ 大き 	30815R-B-01	B0FM3H1Y97	Shipped	1	JPY	1000.0	91.0								長崎県	851-1132	JP	
503-0904716-8979817		2026-02-28T21:27:07+09:00	2026-03-07T13:03:58+09:00	Cancelled	Merchant	Amazon.co.jp	WebsiteOrderChannel		NextDay	[&mellow] カップ付きインナー ブラトップ アンダーゴムなし カップ付きタンクトップ レディース シームレスブラ アンダーゴムフリー 速乾 ストレッチ素材 インナー ノンワイヤー 大きいサイズ シームレス 防寒 保温 ノンワイヤーブラジャー (JP, アルファベット, M, ベージュ)	30713-A-03	B0FTZ5VMR8		0											福岡県	811-1323	JP	
250-7283420-1107011		2026-02-28T21:10:48+09:00	2026-03-04T10:58:58+09:00	Shipped	Merchant	Amazon.co.jp	WebsiteOrderChannel		NextDay	[&mellow] 7枚セット シームレスショーツ レディース 深め ハイウエスト 無縫製 深履き 下着 クロッチ綿100％ シームレスパンツ シームレス 深め 吸汗速乾 通気性 食い込みにくい 大きいサイズ M L LL 3L 黒 インナー (JP, アルファベット, 2XL, 7色アソート)	30827-D-01	B0FSZQ33B1	Shipped	1	JPY	2190.0	199.0								静岡県	427-0107	JP	
503-4601482-2651867	503-4601482-2651867	2026-02-28T21:07:51+09:00	2026-03-01T06:06:46+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	[&mellow] レディース 赤いパンツ 2枚セット 綿 ハイウエスト レース付き 大きいサイズ 運気アップ 開運 パンツ イ	30817R-B-01	B0FM3KGFQF	Shipped	1	JPY	1298.0	118.0								兵庫県	662-0077	JP	
503-3765138-3563815	503-3765138-3563815	2026-02-28T20:24:25+09:00	2026-03-02T22:02:16+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	[&mellow] 温活ショーツ 5枚セット 綿ショーツ ハイウエスト レディース 深履き 深め 黒 パンツ 下着 冷え対策 イ 	30815-D-03	B0FLTZPL8H	Shipped	1	JPY	1898.0	173.0								岐阜県	503-0414	JP	
503-2480717-5744649	503-2480717-5744649	2026-02-28T19:46:26+09:00	2026-03-01T06:07:43+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	[&mellow] ノンワイヤーブラセット シームレスブラ シームレスショーツ 脇高ブラ＆ショーツセット ふんわり谷間 	30902-B-01	B0FLXBR4ZS	Shipped	3	JPY	5394.0	490.0								長野県	390-0221	JP	
250-9994018-5997437	250-9994018-5997437	2026-02-28T18:59:17+09:00	2026-03-01T23:08:27+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	[&mellow] ノンワイヤーブラセット シームレスブラ シームレスショーツ 脇高ブラ＆ショーツセット ふんわり谷間 	30902-B-08	B0FLXCTBF5	Shipped	1	JPY	1798.0	163.0								広島県	7313163	JP	
250-1645723-0227869		2026-02-28T18:50:56+09:00	2026-03-03T10:35:53+09:00	Shipped	Merchant	Amazon.co.jp	WebsiteOrderChannel		NextDay	[&mellow] カップ付きインナー ブラトップ アンダーゴムなし カップ付きタンクトップ レディース シームレスブラ アンダーゴムフリー 速乾 ストレッチ素材 インナー ノンワイヤー 大きいサイズ シームレス 防寒 保温 ノンワイヤーブラジャー (JP, アルファベット, L, モカ)	30713-B-02	B0FTZ812H4	Shipped	1	JPY	1698.0	155.0								宮崎県	880-2101	JP	
