（親）ASIN,（子）ASIN,タイトル,セッション数 - 合計,セッション数 - 合計 - B2B,セッション率 - 合計,セッション率 - 合計 - B2B,ページビュー - 合計,ページビュー - 合計 - B2B,ページビュー率 - 合計,ページビュー率 - 合計 - B2B,おすすめ出品（おすすめ商品）の獲得率,おすすめ出品（おすすめ商品）の獲得率 - B2B,注文された商品点数,注文点数 - B2B,ユニットセッション率,ユニットセッション率 - B2B,注文商品の売上額,注文商品の売上額 - B2B,注文品目総数,注文品目総数 - B2B
B0FXBGCDN7,B0FXBHCT99,"[&mellow] 超極暖 裏起毛インナー 厚手 裏起毛 インナー 長袖 黒 高密度 大きいサイズ レディース 防寒インナー 温活 ストレッチ インナー 防寒 下着 裏ボア カットソー トップス 無地 M/L/2L/3L (JP, アルファベット, M, ブラック)","10,301",76,7.48%,5.63%,"14,588",128,7.71%,7.13%,99.26%,94.37%,"1,066",8,10.35%,10.53%,"￥1,711,340","￥12,720",844,6
B0FXBGCDN7,B0FXBGCBBD,"[&mellow] 超極暖 裏起毛インナー 厚手 裏起毛 長袖 黒 高密度 起毛インナー 大きいサイズ レディース 防寒インナー 温活 ストレッチ 防寒 下着 裏ボア カットソー トップス 無地 M/L/2L/3L(JP, アルファベット, L, ブラック)","7,148",64,5.19%,4.74%,"10,166",112,5.37%,6.24%,99.68%,95.71%,784,9,10.97%,14.06%,"￥1,259,160","￥14,410",634,8
B0FM3H88YS,B0FM3H1Y97,"[&mellow] 開運 赤いパンツ 2枚セット レディース 綿混 ハイウエスト 綿ショーツ 温活 深履き 深め ショーツ 大きいサイズ｜健康運・金運アップ 冷え対策・還暦祝い 敬老の日にも｜M/L/XL/2XL/3XL (JP, アルファベット, L, レッド)","3,221",26,2.34%,1.93%,"4,911",29,2.60%,1.62%,99.95%,100.00%,403,4,12.51%,15.38%,"￥403,000","￥4,000",345,2
B0FXBGCDN7,B0FXBLB35Q,"[&mellow] 超極暖 裏起毛インナー 厚手 裏起毛 インナー 長袖 黒 高密度 大きいサイズ レディース 防寒インナー 温活 ストレッチ インナー 防寒 下着 裏ボア カットソー トップス 無地 M/L/2L/3L(JP, アルファベット, 2XL, ブラック)","12,140",66,8.81%,4.89%,"17,505",102,9.25%,5.69%,99.29%,92.86%,370,2,3.05%,3.03%,"￥600,800","￥3,180",300,2
B0FXBGCDN7,B0FXBHGYZ4,"[&mellow] 超極暖 裏起毛インナー 厚手 裏起毛 インナー 長袖 黒 高密度 大きいサイズ レディース 防寒インナー 温活 ストレッチ 防寒 下着 裏ボア カットソー トップス 無地 M/L/2L/3L(JP, アルファベット, XL, ブラック)","6,783",42,4.92%,3.11%,"9,530",61,5.04%,3.40%,99.33%,93.75%,344,0,5.07%,0.00%,"￥553,660",￥0,281,0
B0G37H9CWT,B0G37HF5NC,"[&mellow] 超極暖 裏起毛インナー ブラック 黒 高密度 インナー 大きいサイズ メンズ 長袖 ヒートテック ベルベット体感＋5℃ ストレッチ インナー 防寒 下着 抗菌 ふんわり裏起毛 男性 M/L/2L/3L (JP, アルファベット, M, ブラック)","6,669",69,4.84%,5.11%,"9,662",88,5.11%,4.91%,99.54%,94.67%,319,2,4.78%,2.90%,"￥552,078","￥3,580",248,2
B0FM3H88YS,B0FM3JKLJ3,"[&mellow] 開運 赤いパンツ 2枚セット レディース 綿混 ハイウエスト 綿ショーツ 温活 深履き 深め ショーツ 大きいサイズ｜健康運・金運アップ 冷え対策・還暦祝い 敬老の日にも｜LM/L/XL/2XL/3XL (JP, アルファベット, M, レッド)","3,171",31,2.30%,2.30%,"4,766",49,2.52%,2.73%,99.83%,94.74%,279,0,8.80%,0.00%,"￥279,272",￥0,239,0
B0FM3H88YS,B0FM3G5QMY,"[&mellow] 開運 赤いパンツ 2枚セット レディース 綿混 ハイウエスト 綿ショーツ 温活 深履き 深め ショーツ 大きいサイズ｜健康運・金運アップ 冷え対策・還暦祝い 敬老の日にも｜M/L/XL/2XL/3XL (JP, アルファベット, XL, レッド)","1,732",15,1.26%,1.11%,"2,566",17,1.36%,0.95%,100.00%,100.00%,272,1,15.70%,6.67%,"￥272,000","￥1,000",228,1
B0G37H9CWT,B0G37DQW8X,"[&mellow] 超極暖 裏起毛インナー ブラック 黒 高密度 インナー 大きいサイズ メンズ 長袖 ヒートテック ベルベット体感＋5℃ ストレッチ インナー 防寒 下着 抗菌 ふんわり裏起毛 男性 M/L/2L/3L (JP, アルファベット, L, ブラック)","3,426",42,2.49%,3.11%,"4,711",56,2.49%,3.12%,99.57%,100.00%,290,2,8.46%,4.76%,"￥503,520","￥3,580",223,2
B0FM3HNLQL,B0FM3KGFQF,"[&mellow] レディース 赤いパンツ 2枚セット 綿 ハイウエスト レース付き 大きいサイズ 運気アップ 開運 パンツ インナー 還暦 赤いショーツ 温活ショーツ 深履き 深め お尻すっぽり M/L/XL/2XL/3XL(JP, アルファベット, L, レッド)","1,366",12,0.99%,0.89%,"2,182",14,1.15%,0.78%,99.59%,100.00%,198,2,14.49%,16.67%,"￥247,514","￥2,496",172,2
