※この情報は店舗様および楽天市場での重要な情報となります。データの取扱には十分にご注意ください。

データ対象期間,2025/10/01 ～ 2025/10/31
カタログID,商品管理番号,商品番号,商品名,SKU管理番号,システム連携用SKU番号,"SKU項目1","SKU項目2","SKU項目3","SKU項目4","SKU項目5","SKU項目6",売上金額,売上件数,売上個数
"","30705","","【吸湿速乾 ブラトップ】カップ付きインナー レディース ブラトップ タンクトップ キャミソール ノンワイヤーブラ ナイトブラ 締め付けない ブラキャミ カップ付きタンクトップ 大きいサイズ LL 3L 4L ヨガ 温活 ジュニア ロング 夜用ブラ 送料無料","30705-A-04","","チャコール【キャミソール】","M","","","","",1290,1,1
"","30705","","【吸湿速乾 ブラトップ】カップ付きインナー レディース ブラトップ タンクトップ キャミソール ノンワイヤーブラ ナイトブラ 締め付けない ブラキャミ カップ付きタンクトップ 大きいサイズ LL 3L 4L ヨガ 温活 ジュニア ロング 夜用ブラ 送料無料","30705-E-05","","モーヴピンク【タンクトップ】","4L","","","","",1192,1,1
"","30705","","【吸湿速乾 ブラトップ】カップ付きインナー レディース ブラトップ タンクトップ キャミソール ノンワイヤーブラ ナイトブラ 締め付けない ブラキャミ カップ付きタンクトップ 大きいサイズ LL 3L 4L ヨガ 温活 ジュニア ロング 夜用ブラ 送料無料","30705-E-11","","アッシュブルー【タンクトップ】","4L","","","","",1490,1,1
"","30713","","【アンダーゴムなし ブラトップ】 カップ付きタンクトップ ゴムなし インナー シームレス レディース タンクトップ 締め付けない シームレスブラ  ナイトブラ カップ一体型 胸を小さく見せる ブラキャミ ゴムフリー 大きいサイズ 3L シームレスインナー 送料無料","30713-A-01","","ブラック","M","","","","",5070,3,3
"","30713","","【アンダーゴムなし ブラトップ】 カップ付きタンクトップ ゴムなし インナー シームレス レディース タンクトップ 締め付けない シームレスブラ  ナイトブラ カップ一体型 胸を小さく見せる ブラキャミ ゴムフリー 大きいサイズ 3L シームレスインナー 送料無料","30713-A-02","","モカ","M","","","","",6068,4,4
"","30713","","【アンダーゴムなし ブラトップ】 カップ付きタンクトップ ゴムなし インナー シームレス レディース タンクトップ 締め付けない シームレスブラ  ナイトブラ カップ一体型 胸を小さく見せる ブラキャミ ゴムフリー 大きいサイズ 3L シームレスインナー 送料無料","30713-A-03","","ベージュ","M","","","","",3380,2,2
"","30713","","【アンダーゴムなし ブラトップ】 カップ付きタンクトップ ゴムなし インナー シームレス レディース タンクトップ 締め付けない シームレスブラ  ナイトブラ カップ一体型 胸を小さく見せる ブラキャミ ゴムフリー 大きいサイズ 3L シームレスインナー 送料無料","30713-A-04","","ブラック（予約）","M","","","","",1390,1,1
"","30713","","【アンダーゴムなし ブラトップ】 カップ付きタンクトップ ゴムなし インナー シームレス レディース タンクトップ 締め付けない シームレスブラ  ナイトブラ カップ一体型 胸を小さく見せる ブラキャミ ゴムフリー 大きいサイズ 3L シームレスインナー 送料無料","30713-B-01","","ブラック","L","","","","",5070,3,3
"","30713","","【アンダーゴムなし ブラトップ】 カップ付きタンクトップ ゴムなし インナー シームレス レディース タンクトップ 締め付けない シームレスブラ  ナイトブラ カップ一体型 胸を小さく見せる ブラキャミ ゴムフリー 大きいサイズ 3L シームレスインナー 送料無料","30713-B-02","","モカ","L","","","","",6560,4,4
"","30713","","【アンダーゴムなし ブラトップ】 カップ付きタンクトップ ゴムなし インナー シームレス レディース タンクトップ 締め付けない シームレスブラ  ナイトブラ カップ一体型 胸を小さく見せる ブラキャミ ゴムフリー 大きいサイズ 3L シームレスインナー 送料無料","30713-B-03","","ベージュ","L","","","","",3380,2,2
"","30713","","【アンダーゴムなし ブラトップ】 カップ付きタンクトップ ゴムなし インナー シームレス レディース タンクトップ 締め付けない シームレスブラ  ナイトブラ カップ一体型 胸を小さく見せる ブラキャミ ゴムフリー 大きいサイズ 3L シームレスインナー 送料無料","30713-C-01","","ブラック","LL","","","","",4886,2,3
"","30713","","【アンダーゴムなし ブラトップ】 カップ付きタンクトップ ゴムなし インナー シームレス レディース タンクトップ 締め付けない シームレスブラ  ナイトブラ カップ一体型 胸を小さく見せる ブラキャミ ゴムフリー 大きいサイズ 3L シームレスインナー 送料無料","30713-C-03","","ベージュ","LL","","","","",1690,1,1
"","30718","","＼10%OFF◆クーポン／【極暖 裏起毛インナー◆超高密度起毛】裏起毛インナー レディース ヒートテック 裏ボア インナー 防寒 シャツ  長袖 カットソー トップス 冬 無地 温活 裏起毛カットソー トップス 冷え対策 保温 毛布 ロンT 送料無料","30718-A-01","","ブラック","M","","","","",38160,19,24
"","30718","","＼10%OFF◆クーポン／【極暖 裏起毛インナー◆超高密度起毛】裏起毛インナー レディース ヒートテック 裏ボア インナー 防寒 シャツ  長袖 カットソー トップス 冬 無地 温活 裏起毛カットソー トップス 冷え対策 保温 毛布 ロンT 送料無料","30718-A-02","","ブラック（予約：11/10入荷予定）","M","","","","",4770,2,3
